corp_code,corp_name,stock_code,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024
00136457,SH에너지화학,002360,20210322000488,20220322000701,20230322000490,20240321001086,20250320000777
00111193,대양전기공업,108380,20210311000934,20220321001412,20230321001177,20240320001224,20250318001187
00490179,플랜티넷,075130,20210318001145,20220317000972,20230315001419,20240321001370,20250320001112
01258710,이노메트리,302430,20210318000512,20220316000910,20230317000534,20240320000351,20250318000217
00220686,에스피지,058610,20210318000280,20220317000316,20230320000344,20240319000234,20250318000311
00429694,파버나인,177830,20210319000495,20220321000687,20230321000757,20240320001764,20250318000607
00138598,아비코전자,036010,20210317000078,20220316000099,20230320000701,20240320000840,20250318000544
00857727,하림,136480,20210322000321,20220321000585,20230321001567,20240319000501,20250318000807
00118345,디아이동일,001530,20210318001236,20220317000939,20230316001325,20240314001589,20250320001320
00636656,바이오플러스,099430,20210331001852,20220323000759,20230323000659,20240319000814,20250320001165
00476036,에프엔에스테크,083500,20210319000847,20220321000554,20230321001294,20240320001404,20250317000986
00121288,모나미,005360,20210317000354,20220321000384,20230321000713,20240320000713,20250321000631
00146269,일신방직,003200,20210317000634,20220316000695,20230315001185,20240320001530,20250318001205
00157539,KB오토시스,024120,20210322001061,20220323001087,20230322000771,20240320001284,20250320001705
00671978,그리티,204020,20210318000779,20220317000561,20230316000752,20240314000344,20250313000307
00130091,샘표,007540,20210312000656,20220311000609,20230310000888,20240311000607,20250314000972
00138729,아세아제지,002310,20210311001209,20220310001190,20230309000717,20240314001117,20250312000916
00172936,동일산업,004890,20210318000843,20220317000896,20230316001285,20240314000546,20250320000931
00369170,인터플렉스,051370,20210319001163,20220318000792,20230317000984,20240315000891,20250319000859
00151395,천일고속,000650,20210317000820,20220322000840,20230316001173,20240321001343,20250320001184
00530556,예스티,122640,20210318001148,20220321001391,20230322001296,20240320001946,20250318001433
01046203,스튜디오산타클로스,204630,20210517000336,20220321001532,20230321000769,20240319000864,20250320001415
00153126,크라운해태홀딩스,005740,20210318001356,20220322001136,20230323001414,20240321001677,20250320000950
00128661,에스에이엠티,031330,20210318000767,20220317000642,20230316000647,20240314001752,20250312001100
00641171,인지소프트,100030,20210323000518,20220323000093,20230323001104,20240321001330,20250320000982
00493510,뉴프렉스,085670,20210319001111,20220321001191,20230321001088,20240320002028,20250320001666
00223434,에프에스티,036810,20210319000353,20220321000520,20230321001035,20240320001559,20250318001389
00864338,웹스,196700,20210319000720,20220321000826,20230323001546,20240320001894,20250318001323
00579980,아이티엠반도체,084850,20210317000346,20220316000059,20230320000376,20240318000473,20250318000502
01169267,세화피앤씨,252500,20210322000181,20220322000247,20230323000480,20240321000652,20250320000957
00130383,서부T&D,006730,20210322001100,20220321000985,20230320000565,20240321000430,20250318001411
00146560,일지테크,019540,20210318000639,20220317000849,20230316000845,20240314001418,20250320000764
00925295,에프엔씨엔터,173940,20210319001233,20220321001377,20230321001361,20240320001148,20250318000973
00610083,비아트론,141000,20210319000510,20220321000629,20230321000905,20240319000872,20250318000574
01065785,노브메타파마,229500,20210319001377,20220318000715,20230317000745,20240320001114,20250314001145
00653024,진에어,272450,20210318000640,20220315000693,20230314000645,20240313000931,20250318000022
00203582,한솔홈데코,025750,20210316000785,20220315001058,20230314001292,20240312001043,20250311000946
00938721,필옵틱스,161580,20210319001403,20220321001139,20230321001561,20240320001865,20250317000978
00250997,대정화금,120240,20210317000302,20220316000108,20230315000243,20240318000183,20250318000203
00599957,슈프리마에이치큐,094840,20210315000815,20220315001144,20230314001299,20240318000708,20250317000777
00116806,하스코,012760,20210331002482,20220331000080,20230331001184,20240329002301,20250321000556
00165583,E1,017940,20210318000819,20220317000782,20230316000899,20240321001440,20250320001564
00159023,SK텔레콤,017670,20210317000804,20220316000250,20230320000235,20240318000570,20250317000684
00138297,STX,011810,20210323001172,20220323001357,20230323001138,20240321001859,20250320001714
00159795,한국카본,017960,20210322000802,20220322000780,20230321001102,20240321001829,20250319000937
