CIK,dbo_eid,dbo_label,dbo_label_raw,dbo_val,net_eid,net_val,has_ifrs_dbo,ifrs_dbo_val,has_pa,pa_val,has_dim,has_cal_net,dbo_type,anomaly
00398701,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",37268184000.0,ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,470810348.0,True,37268184000.0,True,36797374000.0,True,False,총액(DBO매핑≈IFRS_DBO),
00398792,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",16171313000.0,ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,16045187210.0,True,16171313000.0,True,126126000.0,True,False,순액(DBO매핑=Net),DBO_IS_NET
00398808,,,,,dart_InvestedAssetForPostemploymentBenefit,694322625.0,False,,False,,False,False,NetDBO만,
00400060,entity00400060_NetDefinedBenefitLiabilitiesOfNoncurrentLiabilities,순확정급여부채,순확정급여부채,0.0,entity00400060_NetDefinedBenefitLiabilitiesOfNoncurrentLiabilities,0.0,False,,False,,False,False,순액(레이블),ZERO_VAL
00400857,ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,비유동순확정급여부채,비유동 순확정급여부채,0.0,ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,0.0,False,,False,,False,False,순액(레이블),ZERO_VAL
00401731,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",4834763000000.0,ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,146985000000.0,True,4834763000000.0,True,5194865000000.0,True,False,총액(DBO매핑≈IFRS_DBO),
00403632,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",32349890000.0,ifrs-full_LiabilityAssetOfDefinedBenefitPlans,32349890000.0,True,32349890000.0,True,-35151078000.0,True,False,총액(DBO매핑≈IFRS_DBO),
00403766,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,208521720.0,dart_PostemploymentBenefitObligations,208521720.0,False,,False,,False,False,순액추정(퇴직급여부채),
00404288,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,0.0,dart_PostemploymentBenefitObligations,0.0,False,,False,,False,False,순액추정(퇴직급여부채),ZERO_VAL
00404701,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,순확정급여부채,순확정급여부채,3025463671.0,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,3025463671.0,False,,False,,False,False,순액(레이블),
00405278,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,1120139746.0,dart_PostemploymentBenefitObligations,1120139746.0,False,,False,,False,False,순액추정(퇴직급여부채),
00405320,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",24183769000.0,ifrs-full_NoncurrentRecognisedAssetsDefinedBenefitPlan,1795748115.0,True,24183769000.0,True,25816158000.0,True,False,총액(DBO매핑≈IFRS_DBO),
00405506,,,,,dart_InvestedAssetForPostemploymentBenefit,147981810.0,False,,False,,False,False,NetDBO만,
00405959,dart_PostemploymentBenefitObligations,확정급여부채,확정급여부채,1381933662.0,dart_PostemploymentBenefitObligations,1381933662.0,False,,False,,False,False,판별불가,
00406046,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,2004540502.0,ifrs-full_RecognisedAssetsDefinedBenefitPlan,259662954.0,False,,False,,False,False,순액(레이블),
00406329,entity00406329_DefinedBenefitObligationOfNoncurrentLiabilities,확정급여부채,확정급여부채,319037844.0,,,False,,False,,False,False,판별불가,
00406727,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,0.0,dart_PostemploymentBenefitObligations,0.0,False,,False,,False,False,순액추정(퇴직급여부채),ZERO_VAL
00407285,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,1809167224.0,dart_PostemploymentBenefitObligations,1809167224.0,False,,False,,False,False,순액(레이블),
00407294,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,4328612578.0,dart_PostemploymentBenefitObligations,4328612578.0,False,,False,,False,False,순액추정(퇴직급여부채),
00407814,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,순확정급여부채,순확정급여부채,680250460.0,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,680250460.0,False,,False,,False,False,순액(레이블),
00408266,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,5493292201.0,dart_PostemploymentBenefitObligations,5493292201.0,False,,False,,False,False,순액추정(퇴직급여부채),
00408956,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,86881527.0,dart_PostemploymentBenefitObligations,86881527.0,False,,False,,False,False,순액(레이블),
00409140,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,792245213.0,dart_PostemploymentBenefitObligations,792245213.0,False,,False,,False,False,순액추정(퇴직급여부채),
00409371,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,1633146923.0,dart_PostemploymentBenefitObligations,1633146923.0,False,,False,,False,False,순액추정(퇴직급여부채),
00409672,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,1602979958.0,dart_PostemploymentBenefitObligations,1602979958.0,False,,False,,False,False,순액추정(퇴직급여부채),
00409681,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여 부채,16583940170.0,dart_PostemploymentBenefitObligations,16583940170.0,False,,False,,False,False,순액(레이블),
00409788,dart_PostemploymentBenefitObligations,확정급여부채,확정급여부채,22345263869.0,dart_PostemploymentBenefitObligations,22345263869.0,False,,False,,False,False,판별불가,
00410739,entity00410739_NetDefinedBenefitLiabilityOfNoncurrentLiabilities,순확정급여채무,순확정급여채무,296329744.0,entity00410739_NetDefinedBenefitLiabilityOfNoncurrentLiabilities,296329744.0,False,,False,,False,False,순액(레이블),
00410997,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,1228559135.0,dart_PostemploymentBenefitObligations,1228559135.0,False,,False,,False,False,순액추정(퇴직급여부채),
00411048,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,7250058440.0,dart_PostemploymentBenefitObligations,7250058440.0,False,,False,,False,False,순액추정(퇴직급여부채),
00411385,,,,,entity00411385_DefinedBenefitAssetOfNoncurrentAssets,26171810.0,False,,False,,False,False,NetDBO만,
00411446,,,,,dart_InvestedAssetForPostemploymentBenefit,139259809.0,False,,False,,False,False,NetDBO만,
00412348,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",23066384197.0,ifrs-full_LiabilityAssetOfDefinedBenefitPlans,-18038869079.0,True,23066384197.0,True,-18038869079.0,True,False,총액(DBO매핑≈IFRS_DBO),
00412597,ifrs-full_WeightedAverageDurationOfDefinedBenefitObligation2019,확정급여채무의가중평균만기,확정급여채무의 가중평균만기,,ifrs-full_NoncurrentRecognisedAssetsDefinedBenefitPlan,2778258000.0,False,,False,,True,False,Dimension분리형,
00413417,dart_PostemploymentBenefitObligations,확정급여부채,확정급여부채,619383686.0,dart_PostemploymentBenefitObligations,619383686.0,False,,False,,False,False,판별불가,
00413523,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,3238861226.0,dart_PostemploymentBenefitObligations,3238861226.0,False,,False,,False,False,순액(레이블),
00414601,,,,,dart_InvestedAssetForPostemploymentBenefit,957313626.0,False,,False,,False,False,NetDBO만,
00414850,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,4117748436.0,dart_PostemploymentBenefitObligations,4117748436.0,False,,False,,False,False,순액추정(퇴직급여부채),
