corp_code,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024,corp_name,rcept_2025
00125488,20210330000019,20220720000363,20230321000886,20240320000719,20260317000903,삼륭물산,20260319001382
00125521,20210323000911,20220930000533,20230321001134,20240318000589,20250318000826,에스엘,20260318000781
00125530,20210318000643,20220317001271,20230316001219,20240321001513,20250318001175,SPC삼립,20260318001066
00125576,20200928000395,20210917000616,20220920000356,20240321001312,20250321001138,체시스,20260323000928
00125646,20210318000660,20220812000972,20240229002045,20240321001591,20250320001557,삼목에스폼,20260323001658
00125655,20210331002976,20220331001781,20230331002744,20240329001283,20250331001707,삼미,
00125664,,,20230522000089,20240320001142,20250327000681,삼미금속,20260311003680
00125725,20210322001176,20220323001223,20230323000002,20240320002029,20250514000482,디모아,20260320000639
00125743,20210317001107,20220321000797,20230317000757,20240318000828,20250321001499,현대비앤지스틸,20260316001374
00125822,20210323000561,20220322000839,20230724000234,20240320001154,20250321001475,삼보산업,20260318001503
00125910,20210331002166,20220331001552,20230322001099,20240401003971,20250328000449,엘티삼보,
00125938,20210526000117,20220321000274,20230711000150,20240321000362,20250320000229,삼보판지,20260320000317
