corp_code,corp_name,stock_code,is_listed,n_years,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024
01319899,SK바이오사이언스,302440,True,5,20210323000842,20220316001334,20230317000869,20240315000914,20250317000856
01322529,스마트골프,,False,4,20210331003306,20220330000122,,20240401003763,20250331001069
01323032,케이카,381970,True,4,,20220321001421,20230407002574,20240424000584,20250318000964
01323263,선향,,False,1,20210329000334,,,,
01324165,아스트로젠,,False,5,20210326000266,20220329000472,20230329000432,20240325000924,20250328002047
01325429,지아이에스,306620,True,4,20210323000359,,20230324000029,20240321001085,20250327001198
01325979,세아제강,306200,True,5,20210318000260,20220314001229,20230314001166,20240306000569,20250312000987
01326224,원바이오젠,307280,True,4,,20220318000911,20230321000712,20240320000902,20250320000841
01326260,하나머스트제6호기업인수목적,307160,True,1,20210311000034,,,,
01326279,아이엘,307180,True,4,20210319001126,,20230321001171,20240320001564,20250319000993
01326792,비투엔,307870,True,4,20210419000287,20220516001076,20230320000690,20240329002337,
01327092,라닉스,317120,True,4,,20220324000586,20230310000842,20240315000569,20250317000979
01327746,보로노이,310210,True,4,,20220411001828,20230323001447,20240321000993,20250320001039
01327834,힐세리온,,False,1,20210616000068,,,,
01328170,노드메이슨,317860,True,4,20210316000346,20220318000141,20230321001063,20240320001631,
01328639,윙입푸드,900340,True,5,20210420000469,20220418000387,20230412002406,20240412002922,20250422000461
01329957,국전약품,307750,True,4,20210401002323,,20230322000134,20240320000987,20250321001847
01332137,노보믹스,283100,True,2,,,,20240405002002,20250407004172
01335143,로킷헬스케어,376900,True,4,20210512000709,,20230328000177,20240328001850,20250326000472
01335374,비욘드바이오,,False,5,20210329000716,20220329000326,20230329000627,20240321001407,20250327000262
01335453,조이웍스앤코,309930,True,4,20210322000732,,20230322000699,20240321001425,20250319001003
01335578,애니플러스,310200,True,4,20210416000639,,20230322000689,20240321002010,20250327000729
01335790,바이젠셀,308080,True,4,,20220316000144,20230315001035,20240409003696,20250319000981
01335851,박셀바이오,323990,True,4,20210630000979,,20230315000527,20250828000446,20250828000453
01335930,티움바이오,321550,True,5,20210319001433,20220322000464,20230321001034,20240320001680,20250319000420
01335985,지플러스생명과학,,False,2,20210402001375,20220404001012,,,
01336285,에스케이에이씨피씨제4호기업인수목적,307070,True,1,20210310000690,,,,
01336373,메드팩토,235980,True,5,20210611000217,20220314001192,20230313000938,20240320001688,20250320000990
01336391,엔에이치기업인수목적13호,310840,True,1,20210308000292,,,,
01336443,디와이씨,310870,True,5,20210225003830,20220323001207,20230322000500,20240320000459,20250319000619
01336461,뉴로메카,348340,True,1,,,,20240321001545,
01336735,펨토바이오메드,327610,True,3,,20220321000809,,20240321000921,20250319000117
01336762,스피어,347700,True,5,20210607000174,20220323000809,20230323000910,20240321001584,20250317000467
01337017,이앤에치,341310,True,4,20210324000172,20220318000864,,20240319000442,20250314000098
01337220,키움제5호기업인수목적,311270,True,1,20210323000560,,,,
01338724,에스앤케이,950180,True,3,20201130001170,20211123000349,20221125000109,,
01339237,여주에너지서비스,,False,5,20210406000611,20220331002852,20230331003345,20240401004437,20250331004194
01339389,키움캐피탈,,False,5,20210317000950,20220316000453,20230329001239,20240329002644,20250328002189
01341630,이노룰스,296640,True,3,,,20230322000843,20240320000972,20250319001007
01343072,온페이스,,False,1,20210407002483,,,,
01343665,RF머트리얼즈,327260,True,5,20210317000716,20220316001296,20230315001264,20240611000382,20250319001137
01343735,데이드림엔터테인먼트,348840,True,3,20210318000039,20220318000173,20230321000034,,
01343920,유안타제4호기업인수목적,313750,True,1,20210308000642,,,,
01344202,뷰노,338220,True,5,20210608000094,20220323000533,20230320000866,20240426000648,20250320000289
01344336,신테카바이오,226330,True,5,20210604000121,20220325001075,20230323000653,20240321001041,20250320001651
01344363,다원넥스뷰,323350,True,5,20210319000921,20220321001551,20230321001265,20240314000984,20250319000494
01344752,케어룸의료산업,327970,True,1,20210322000545,,,,
01344831,딥노이드,315640,True,3,,20220322000429,20230321000750,20240319000840,
01344840,메드파크,,False,5,20210329000018,20220331003646,20230331002308,20240401003962,20250331004010
01345070,쿼럼바이오,,False,5,20210323000859,20220323001238,20230331004052,20240401004092,20250331004276
01345724,타임기술,318660,True,5,20210629000560,20220322000645,20230321000709,20240320000687,20250321000661
01346343,펀진,,False,5,20210330000118,20220330001777,20230330001465,20240329003193,20250418000552
01350638,티티씨디펜스,309900,True,2,20210514001640,20220330001784,,,
01350869,우리금융지주,316140,True,5,20210318001162,20220317001124,20230316001455,20240516001472,20250318001303
01351080,지아이이노베이션,358570,True,5,20210331002429,20220330001266,20230323001521,20240328001670,20250321001838
01351114,케이비제17호기업인수목적,317030,True,1,20210309000082,,,,
01351822,한화에스비아이기업인수목적,317320,True,1,20210311000386,,,,
01352566,뉴라클사이언스,,False,5,20210330000761,20220331000925,20230331001340,20240401000859,20250331000926
01352575,바이오텐,289170,True,2,,,,20240320001194,20250318000596
01352991,제이피에스,,False,1,20210331002384,,,,
01353024,TS트릴리온,317240,True,5,20210323000810,20220323001118,20230331002992,20240322000893,20250321001247
01353848,이노벡스,279060,True,5,20210319001292,20220328000884,20230321001331,20240320001279,20250320001369
01354740,브이씨,365900,True,4,,20220323000875,20230321001129,20240321000544,20250319000403
01354953,미라셀,,False,4,20210331000883,20220331003310,20230331002637,20240502000630,
01355891,김포마송파주운정3주택위탁관리부동산투자회사,,False,2,20210331002083,20220331001943,,,
01357446,퓨런티어,370090,True,4,,20220328000230,20230321000014,20240307000095,20250313000310
